sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5526404,0.4556594,0.5517961,0.4891712,0.4811243,0.3652806,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5566289,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4810597,0.581987,0.5586056,0.4556594,0.5517961,0.4891712,0.4811243,0.4506992,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.5115184,0.4556594,0.5517961,0.4891712,0.4811243,0.351955,4
0.5611262,0.6058791,0.6009262,0.4795125,0.581987,0.4551509,0.4556594,0.5517961,0.4891712,0.4811243,0.4506992,4
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
0.5611262,0.6058791,0.6009262,0.5846218,0.4760085,0.5586056,0.4556594,0.4350724,0.4891712,0.4811243,0.4901936,5
