sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,label
0.4399571,0.6072472,0.6504087,0.5873959,0.487743,0.4649947,0.4539965,0.3997435,0.571727,2
0.5092951,0.6072472,0.6504087,0.5873959,0.3785891,0.4179429,0.4539965,0.3997435,0.571727,2
0.5095482,0.6072472,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.3997435,0.571727,2
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.4025784,0.571727,3
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.5748202,0.487743,0.4793612,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.5178967,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.5873959,0.487743,0.4181425,0.4539965,0.3997435,0.571727,3
0.5095482,0.6793182,0.6504087,0.5579014,0.487743,0.4179429,0.4539965,0.4006391,0.571727,3
0.5095482,0.6793182,0.6504087,0.4832272,0.487743,0.4179429,0.4539965,0.3997435,0.571727,3
0.4781941,0.6072472,0.6504087,0.562191,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5222116,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.4597489,0.6072472,0.6504087,0.5024772,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5133167,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5222116,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5222116,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5222116,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5222116,0.3495044,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5219821,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.562191,0.487743,0.5390039,0.4539965,0.3997435,0.571727,4
0.5095482,0.6072472,0.6504087,0.5873959,0.487743,0.4180591,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.4930415,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.4843641,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5806631,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.4930415,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5406833,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5806631,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
0.5095482,0.6072472,0.6504087,0.5847399,0.487743,0.4179429,0.4539965,0.5254324,0.571727,5
