sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,label
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.4927542,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.4927542,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.4515214,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.5279986,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.450976,0.4696589,0.4389589,0.5658129,0.50318,0.4286866,3
0,0.3941039,0.6835474,0.5932816,0.5250036,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.4374962,3
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.3724468,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.2657258,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.5250036,0.402068,0.5632611,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,4
0,0.3941039,0.6128876,0.5932816,0.4752014,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4275838,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4268292,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4259805,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
0,0.3941039,0.6128876,0.5932816,0.4520869,0.402068,0.450694,0.4696589,0.4389589,0.5658129,0.50318,0.5469954,5
