sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,label
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.6442344,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365682,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.3698214,0.3339746,0.3090956,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.3867078,0.2951723,0.254112,0.2932166,0.3339746,0.310034,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5689455,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7337614,0.6319228,0.5005673,0.4072877,0.5593569,0.5689211,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.385113,0.2951723,0.254112,0.3096103,0.3339746,0.4502936,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.5598777,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3442521,0.3339746,0.3363726,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.6062692,0.7365887,0.6319228,0.5005673,0.4072877,0.5593569,0.6442344,0.5771542,0.3459177,0.3835393,0.5035957,0.4358709,0.5146692,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,1
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.5202768,0.6846344,0.6319228,0.5005673,0.4072877,0.4453048,0.5598777,0.5771542,0.3459177,0.3835393,0.3699862,0.4358709,0.385113,0.2951723,0.254112,0.365878,0.3339746,0.2985382,0.2469585,2
0.3736773,0.5780034,0.7085333,0.615743,0.4450714,0.4062773,0.5461286,0.6846344,0.6319228,0.5005673,0.4072877,0.4453048,0.5598777,0.5698678,0.3459177,0.3835393,0.3699862,0.4358709,0.385113,0.2951723,0.254112,0.3698214,0.3339746,0.2985382,0.2469585,2
