sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.4961958,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.4796867,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.4796867,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.4796867,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5203295,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.4911481,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.4796867,0.5258397,4
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.563651,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5854782,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5836484,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,5
