sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,label
0.4135653,0.4718879,0.5436695,0.6126798,0.686139,0.6540462,0.5488108,0.4725766,0.3810762,3
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.4242477,0.5174221,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.5476897,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.5109293,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.47396,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.5224019,0.3796209,4
0.289775,0.3284415,0.4357733,0.5174221,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.6126798,0.6163405,0.6540462,0.5488108,0.4725766,0.3796209,4
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6070082,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.634046,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6079094,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.5995591,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6359643,0.5794222,0.5106622,5
0.4135653,0.4718879,0.5436695,0.5174221,0.6163405,0.6540462,0.6079094,0.5794222,0.5106622,5
