sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,label
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4596609,0.503812,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4088467,0.4904574,0.5620567,0.6365302,0.5708512,0.3461143,0.4219078,0.503812,2
0.5153828,0.5489284,0.6826251,0.6902908,0.5921277,0.4979681,0.4882437,0.5620567,0.5495368,0.5708512,0.3516016,0.4219078,0.3704853,2
0.4217741,0.5489284,0.6826251,0.6902908,0.5921277,0.4997731,0.4882437,0.5620567,0.5781493,0.5708512,0.3461143,0.4219078,0.503812,2
0.462357,0.5489284,0.6826251,0.6902908,0.5921277,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.3704853,2
0.4673181,0.5489284,0.6826251,0.6902908,0.5921277,0.4998862,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.3971387,2
0.522854,0.5489284,0.6826251,0.6902908,0.5921277,0.4992843,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.3704853,2
0.522854,0.5489284,0.6826251,0.6902908,0.5921277,0.388133,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.3704853,2
0.4217741,0.5489284,0.6826251,0.6902908,0.5921277,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.3758021,2
0.4258514,0.5489284,0.6826251,0.6902908,0.5921277,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.3704853,2
0.522854,0.5489284,0.6826251,0.6902908,0.5921277,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.3704853,2
0.522854,0.6360521,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3716586,3
0.522854,0.6360521,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3716586,3
0.522854,0.6360521,0.7354743,0.6375949,0.5920562,0.4999492,0.5910622,0.6458879,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,3
0.522854,0.6360521,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.3704853,3
